first_peak,last_peak,gradient,_max_peak,_min_peak,signal_mean,signal_variance,sknewness,direction,
2.880859375,3.0859375,0.034527794,4.995117188,0.234375,2.477336859,1.219019485,,right,
2.197265625,2.197265625,0,4.775390625,0,2.479929914,1.206214699,,left,
2.827148438,3.017578125,0.036067695,4.995117188,0.361328125,2.44489138,1.186020246,,right,
2.802734375,2.827148438,0.004787736,3.681640625,1.54296875,2.472797,0.672545223,,no-left,
2.182617188,2.817382813,0.11627027,4.995117188,0,2.479758914,0.810717349,,no-cross-left,went back and forth
2.866210938,2.075195313,-0.179417273,4.946289063,0,2.485176132,0.875095727,,left,
2.846679688,2.807617188,-0.006229469,4.995117188,0.590820313,2.476779218,0.921974768,,right,
2.895507813,2.875976563,-0.005336975,4.853515625,0,2.483394461,0.938542936,,left,
2.119140625,2.827148438,0.129673968,4.995117188,0.3515625,2.479699294,0.924634072,,right,
2.172851563,2.060546875,-0.021513294,4.501953125,0,2.483836937,0.946230061,,left,
2.822265625,3.046875,0.041371339,4.995117188,0.454101563,2.480786577,0.956945281,,right,
2.924804688,2.099609375,-0.189681467,4.838867188,0,2.483774303,0.964933845,,left,
2.8125,2.900390625,0.017133196,4.995117188,0.068359375,2.478973399,0.99510804,,right,
2.065429688,2.109375,0.009155821,4.560546875,0,2.483522334,1.006801105,,left,
2.822265625,2.807617188,-0.002758712,4.995117188,0,2.481652298,1.027908476,,right,
2.1875,2.075195313,-0.022019957,4.838867188,0,2.483613014,1.034478425,,left,
2.807617188,1.923828125,-0.171272793,4.995117188,0.283203125,2.457494491,0.873364159,,no-cross-right,
2.8125,2.197265625,-0.107931435,4.995117188,0.209960938,2.467218175,1.019533734,,no-cross-right,
2.8125,2.192382813,-0.1038631,4.995117188,0,2.469262602,1.115918978,,no-cross-right,
2.841796875,2.182617188,-0.11041762,4.995117188,0.0390625,2.469342946,1.174937323,,no-cross-right,
2.8515625,1.982421875,-0.154925826,4.995117188,0.532226563,2.471119722,1.139615344,,no-cross-right,
2.104492188,2.16796875,0.012594739,4.995117188,0.258789063,2.472482899,1.11548546,,no-cross-right,
2.827148438,2.192382813,-0.109082146,4.428710938,0.80078125,2.47485983,1.013800178,,no-cross-right,
2.802734375,1.821289063,-0.179744384,4.995117188,0.224609375,2.47453547,1.050857666,,no-cross-right,
2.866210938,2.197265625,-0.114345252,4.995117188,0,2.474217846,1.084087206,,no-cross-right,
2.83203125,2.197265625,-0.091599499,4.995117188,0,2.475116751,1.131246371,,no-cross-right,
2.807617188,2.182617188,-0.084693489,4.995117188,0,2.476035137,1.163411105,,no-cross-right,
2.807617188,2.192382813,-0.091156983,4.995117188,0,2.475529557,1.198465133,,no-cross-right,
2.807617188,2.197265625,-0.087693952,4.995117188,0,2.475664956,1.224679911,,no-cross-right,
2.83203125,2.099609375,-0.117379682,4.995117188,0,2.476444136,1.23709327,,no-cross-right,
2.817382813,2.197265625,-0.09843627,4.995117188,0,2.456054688,1.54355727,,no-cross-right,
2.841796875,2.055664063,-0.131683598,4.995117188,0,2.470144574,1.583806023,,no-cross-right,
2.807617188,2.114257813,-0.117341616,4.995117188,0,2.469753519,1.573132476,,no-cross-right,
2.8125,2.1875,-0.098271768,4.995117188,0,2.468092733,1.509589271,,no-cross-right,
2.841796875,1.987304688,-0.133097462,4.995117188,0,2.470546625,1.471394391,,no-cross-right,
2.807617188,1.899414063,-0.15061678,4.995117188,0,2.472109094,1.490003547,,no-cross-right,
2.841796875,2.138671875,-0.112679875,4.995117188,0,2.472653727,1.49754593,,no-cross-right,
2.802734375,1.958007813,-0.134085983,4.995117188,0,2.471332022,1.503247308,,no-cross-right,
2.084960938,2.16796875,0.011068286,4.995117188,0,2.470761954,1.49985415,,no-cross-right,
2.802734375,2.182617188,-0.093534535,4.995117188,0,2.47176605,1.488788487,,no-cross-right,
