first_peak,second_peak,second_last_peak,last_peak,first_peak_2,second_peak_2,second_last_peak_2,last_peak_2,second_peak,1-hot-first,1-hot-last,Gradient_1,1-hot-first_2,1-hot_last_2,Gradient_2,1-hot_second,1-hot_second_peak_2,1-hot_second_last,1-hot_second_last_2,first_peak_differential,last_peak_differential,direction
0.9303037258052177,4.122714405936806,4.103129064340908,1.958534159589932,3.9562390023716625,0.019585341595899322,3.216892357126463,1.948741488791982,4.122714405936806,0,0,0.11992069352051761,1,0,-0.347885463101422,1,0,1,1,1,0,{'No-left': 22}
4.122714405936806,0.4994262106954327,3.9709280085685874,1.983015836584806,0.7344503098462245,4.132507076734757,1.3758702471119273,3.221788692525438,0.4994262106954327,1,0,0.13293592737291973,0,1,0.49668525856128326,0,1,1,0,0,0,{'No-left': 1}
1.1163644709662612,4.122714405936806,4.117818070537832,1.7430954020350395,3.471501797873154,0.03427434779282381,1.2877362099303802,2.937801239384898,4.122714405936806,0,0,0.07564822032916985,1,1,-0.06311043491852311,1,0,1,0,1,1,{'No-right': 3}
2.962282916379772,0.053859689388723125,0.23502409915079184,3.8436232881952415,1.7724734144288883,4.132507076734757,0.9596817381990665,3.138550990742866,0.053859689388723125,1,1,0.1281488880596643,0,1,0.20264629814298474,0,1,0,0,0,0,{'No-left': 1}
0.9058220488103436,4.122714405936806,4.1129217351388565,1.8704001224083848,3.5008798102670036,0.039170683191798644,4.132507076734757,1.6059980108637442,4.122714405936806,0,0,0.11191223442010499,1,0,-0.3251249375647487,1,0,1,1,1,0,{'No-left': 22}
2.9280085685869484,0.0489633539897483,0.4259811797108102,3.417642108484431,1.5031749674852726,4.132507076734757,1.0674011169765127,3.045520618162344,0.0489633539897483,1,1,0.10256173270672918,0,1,0.23412860473517041,0,1,0,0,0,0,{'No-left': 1}
1.0722974523754878,4.122714405936806,4.122714405936806,1.782266085226838,3.393160431489557,0.053859689388723125,3.510672481064953,1.841022110014536,4.122714405936806,0,0,0.08740382741706239,1,0,-0.25560077455640345,1,0,1,1,1,1,{'No-right': 3}
3.9023793129829394,0.053859689388723125,3.745696580215745,2.071149873766353,0.7295539744472497,4.132507076734757,0.8176880116287966,3.1777216739346645,0.053859689388723125,1,0,0.17545344953617997,0,1,0.4139134702281298,0,1,1,0,0,0,{'No-left': 1}
1.0478157753806137,4.122714405936806,4.122714405936806,1.8655037870094102,3.30502639430801,0.1322010557723204,3.6722515492311225,1.8459184454135107,4.122714405936806,0,0,0.09676562454032685,1,0,-0.24700450958931378,1,0,1,1,1,1,{'No-right': 3}
3.7554892510136946,0.02937801239384898,3.530257822660852,2.076046209165328,1.0478157753806137,4.132507076734757,0.8764440364164945,3.1728253385356897,0.02937801239384898,1,0,0.1693966881721066,0,1,0.3322312596176323,0,1,1,0,0,0,{'No-left': 1}
1.238772855940632,4.122714405936806,3.9807206793665366,2.00749751357968,3.6722515492311225,0.03427434779282381,4.137403412133731,2.061357202968403,4.122714405936806,0,0,0.07196164171380075,1,0,-0.2760273823784452,1,0,1,1,1,0,{'No-left': 22}
3.0406242827633694,0.03427434779282381,0.3917068319179864,3.486190804070079,1.752888072832989,4.132507076734757,1.0429194399816386,3.050416953561319,0.03427434779282381,1,1,0.09976451641210168,0,1,0.19246041819057802,0,1,0,0,0,0,{'No-left': 1}
