first_peak,last_peak,gradient,first_peak_2,last_peak_2,Gradient_2,variance,skewness,Variance_2,Skewness_2,direction
1,1,-0.024868146,1,1,0.001211699,0.234793566,0.337641116,0.311029228,0.164648374,left
1,0,-0.176232974,1,0,-0.008127759,0.235772054,0.326223216,0.311042906,0.152506535,right
0,0,0.127492456,1,0,-0.007141947,0.234457791,0.336806155,0.312039419,0.175661494,left
1,0,-0.180778298,1,0,-0.007562328,0.233867518,0.336567167,0.312574726,0.157850923,right
0,0,0.131972044,1,1,0.001037481,0.232052676,0.342139458,0.312266065,0.173603781,left
1,0,-0.15248714,1,0,-0.007203223,0.231018434,0.33775065,0.312390754,0.157963686,right
0,0,0.052073611,1,1,0.000828793,0.230604926,0.352602796,0.312157284,0.168572501,left
1,0,-0.159002544,1,0,-0.006852743,0.2299459,0.346870955,0.310718837,0.156372174,right
0,0,0.11317161,1,1,0.000139317,0.228650892,0.356510394,0.308440793,0.163978508,left
1,0,-0.221065659,1,1,-0.002562215,0.229728038,0.351979887,0.310296654,0.148811075,right
0,1,0.245881912,1,1,0.000526472,0.229383682,0.358593178,0.308974237,0.157658052,left
1,0,-0.197091642,1,1,-0.002414968,0.228718063,0.354301965,0.308589383,0.14111756,right
