p1,p2,e1,e2,label
0.00032506,0.99967494,0.0024358,7.490938984,left
0.00019402,0.99980598,0.002022247,10.42084152,left
0.000100156,0.999899844,0.001338499,13.36281544,left
5.88E-05,0.999941189,0.000941853,16.01407242,left
5.12E-05,0.999948781,0.000922647,18.0126839,left
4.41E-05,0.999955935,0.000844562,19.16553054,left
3.11E-05,0.999968859,0.000612021,19.6526997,left
2.70E-05,0.999972974,0.000535898,19.82869826,left
2.68E-05,0.999973223,0.000529555,19.77568623,left
3.21E-05,0.999967937,0.000617731,19.26524987,left
0.000107574,0.999892426,0.001943423,18.0640059,left
0.0003757,0.9996243,0.006105551,16.24502751,left
0.000941638,0.999058362,0.013257401,14.06583336,left
0.00184243,0.99815757,0.021547168,11.6734243,left
0.003014404,0.996985596,0.027488494,9.091558229,left
0.004756573,0.995243427,0.030590642,6.400644959,left
0.008022831,0.991977169,0.031708971,3.920633181,left
0.012118438,0.987881562,0.030821943,2.512570532,left
0.00771235,0.99228765,0.026781468,3.445761386,left
0.002638429,0.997361571,0.019571566,7.398314423,left
0.000838121,0.999161879,0.011356717,13.53885571,left
0.000307779,0.999692221,0.00623524,20.25259688,left
0.000185718,0.999814282,0.004939482,26.59172995,left
0.000177698,0.999822302,0.005781469,32.52960837,left
0.000175404,0.999824596,0.006626645,37.7726984,left
0.000174057,0.999825943,0.007118754,40.89178238,left
0.000185059,0.999814941,0.007471391,40.36549361,left
0.000205915,0.999794085,0.007492769,36.38016489,left
0.000215701,0.999784299,0.006619698,30.68257795,left
0.000195136,0.999804864,0.004848894,24.84396025,left
0.000147107,0.999852893,0.002853511,19.39472793,left
0.000119689,0.999880311,0.001710157,14.28661428,left
0.000161697,0.999838303,0.001544461,9.550040787,left
0.00032417,0.99967583,0.001833368,5.653736598,left
0.000540458,0.999459542,0.001908597,3.529532046,left
0.000456014,0.999543986,0.001744962,3.824805827,left
0.000487483,0.999512517,0.002939943,6.027925028,left
0.000862194,0.999137806,0.007603431,8.811097839,left
0.001320471,0.998679529,0.014963652,11.31709051,left
0.001552813,0.998447187,0.021269407,13.67607467,left
0.001485741,0.998514259,0.024258382,16.3032022,left
0.001327915,0.998672085,0.025143796,18.90964901,left
0.001245728,0.998754272,0.025558022,20.49098368,left
0.00120672,0.99879328,0.024825044,20.54750465,left
0.001096446,0.998903554,0.021624751,19.70096667,left
0.000912542,0.999087458,0.017046926,18.66364622,left
